wave_id,province,variant,wave_start,day,date,reported_cases
W011,Hubei,Alpha,2020-01-22,8,2020-01-30,1349.0
W011,Hubei,Alpha,2020-01-22,9,2020-01-31,903.0
W011,Hubei,Alpha,2020-01-22,10,2020-02-01,1347.0
W011,Hubei,Alpha,2020-01-22,11,2020-02-02,4024.0
W011,Hubei,Alpha,2020-01-22,12,2020-02-03,2345.0
W011,Hubei,Alpha,2020-01-22,13,2020-02-04,3156.0
W011,Hubei,Alpha,2020-01-22,14,2020-02-05,2987.0
W011,Hubei,Alpha,2020-01-22,15,2020-02-06,2447.0
W011,Hubei,Alpha,2020-01-22,16,2020-02-07,2841.0
W011,Hubei,Alpha,2020-01-22,17,2020-02-08,2147.0
W011,Hubei,Alpha,2020-01-22,18,2020-02-09,2531.0
W011,Hubei,Alpha,2020-01-22,19,2020-02-10,2097.0
W011,Hubei,Alpha,2020-01-22,20,2020-02-11,1638.0
W011,Hubei,Alpha,2020-01-22,21,2020-02-12,0.0
W011,Hubei,Alpha,2020-01-22,22,2020-02-13,14840.0
W011,Hubei,Alpha,2020-01-22,23,2020-02-14,6200.0
W011,Hubei,Alpha,2020-01-22,24,2020-02-15,1843.0
W011,Hubei,Alpha,2020-01-22,25,2020-02-16,1933.0
W011,Hubei,Alpha,2020-01-22,26,2020-02-17,1807.0
W011,Hubei,Alpha,2020-01-22,27,2020-02-18,1693.0
W011,Hubei,Alpha,2020-01-22,28,2020-02-19,349.0
W011,Hubei,Alpha,2020-01-22,29,2020-02-20,411.0
W011,Hubei,Alpha,2020-01-22,30,2020-02-21,220.0
W011,Hubei,Alpha,2020-01-22,31,2020-02-22,1422.0
W011,Hubei,Alpha,2020-01-22,32,2020-02-23,0.0
W011,Hubei,Alpha,2020-01-22,33,2020-02-24,203.0
W011,Hubei,Alpha,2020-01-22,34,2020-02-25,499.0
W011,Hubei,Alpha,2020-01-22,35,2020-02-26,401.0
W011,Hubei,Alpha,2020-01-22,36,2020-02-27,409.0
W011,Hubei,Alpha,2020-01-22,37,2020-02-28,318.0
W011,Hubei,Alpha,2020-01-22,38,2020-02-29,423.0
W011,Hubei,Alpha,2020-01-22,39,2020-03-01,570.0
W011,Hubei,Alpha,2020-01-22,40,2020-03-02,196.0
W011,Hubei,Alpha,2020-01-22,41,2020-03-03,114.0
W011,Hubei,Alpha,2020-01-22,42,2020-03-04,115.0
W011,Hubei,Alpha,2020-01-22,43,2020-03-05,134.0
W011,Hubei,Alpha,2020-01-22,44,2020-03-06,126.0
W011,Hubei,Alpha,2020-01-22,45,2020-03-07,74.0
W011,Hubei,Alpha,2020-01-22,46,2020-03-08,41.0
W011,Hubei,Alpha,2020-01-22,47,2020-03-09,36.0
W011,Hubei,Alpha,2020-01-22,48,2020-03-10,17.0
W011,Hubei,Alpha,2020-01-22,49,2020-03-11,13.0
W011,Hubei,Alpha,2020-01-22,50,2020-03-12,8.0
W011,Hubei,Alpha,2020-01-22,51,2020-03-13,5.0
W011,Hubei,Alpha,2020-01-22,52,2020-03-14,4.0
W011,Hubei,Alpha,2020-01-22,53,2020-03-15,4.0
W011,Hubei,Alpha,2020-01-22,54,2020-03-16,4.0
W011,Hubei,Alpha,2020-01-22,55,2020-03-17,1.0
W011,Hubei,Alpha,2020-01-22,56,2020-03-18,1.0
W012,Hunan,Alpha,2020-01-22,0,2020-01-22,4.0
W012,Hunan,Alpha,2020-01-22,1,2020-01-23,5.0
W012,Hunan,Alpha,2020-01-22,2,2020-01-24,15.0
W012,Hunan,Alpha,2020-01-22,3,2020-01-25,19.0
